,District,Population,Total_households,Population_density,Zonning,Avg_Age,literacy_rate_%,people_per_household,Employment_rate,uptake_rate,rwi,Central,Eastern,Northern,Western
44,ADJUMANI,235900,43200,75.75,3,17.0,58.0,5.5,66.9,0.0,0.163,0,0,1,0
45,AMURU,216800,45000,60.39,3,15.9,54.55,4.8,66.9,0.0,-0.351,0,0,1,0
5,ARUA,751000,141200,323.8,3,15.9,55.0,5.3,71.0,0.03,-0.111,0,0,1,0
8,BUDUDA,271100,50000,259.5,3,16.0,56.7,5.4,62.5,0.0,-0.524,0,1,0,0
9,BUGIRI,480400,99200,371.5,3,17.0,67.9,4.8,74.1,0.0,-0.117,0,1,0,0
1,BUIKWE,474100,114100,366.4,2,16.0,75.0,4.2,65.0,0.03,-0.402,1,0,0,0
17,BULIISA,474100,28900,286.4,1,16.0,72.0,16.4,78.0,0.0,-0.1,0,0,0,1
10,BUSIA,384000,80725,355.2,3,17.0,67.6,4.8,73.5,0.04,-0.104,0,1,0,0
3,GULU,325600,65600,89.1,4,17.0,75.0,5.0,67.4,0.1,0.062,0,0,1,0
18,HOIMA,374500,83100,114.0,3,17.0,68.0,4.5,65.0,0.0,-0.285,0,0,0,1
11,IGANGA,402600,86300,437.6,3,17.0,68.8,4.7,72.1,0.0,-0.234,0,1,0,0
19,ISINGIRO,596400,125100,209.6,4,15.9,67.88,4.8,76.0,0.0,-0.643,0,0,0,1
12,JINJA,515100,115400,434.7,3,17.0,72.4,4.5,73.6,0.03,-0.124,0,1,0,0
20,KABALE,248700,56100,140.2,2,17.0,62.0,4.4,66.9,0.01,-0.045,0,0,0,1
21,KABAROLE,337800,80400,177.7,3,15.9,63.0,4.2,66.9,0.01,-0.293,0,0,0,1
22,KAGADI,430200,91100,304.9,3,17.0,67.8,4.7,66.9,0.0,-0.113,0,0,0,1
46,KALANGALA,67200,24700,141.6,3,15.8,82.0,2.7,68.0,0.0,-0.416,1,0,0,0
16,KALANGULA ,70760,24700,148.7,3,16.0,82.0,2.9,68.0,0.0,0.007,1,0,0,0
13,KALIRO,288500,55700,286.6,3,17.0,62.5,5.2,68.4,0.0,-0.352,0,1,0,0
0,KAMPALA,1680600,462400,229.0,4,15.9,75.0,3.6,69.5,0.39,1.492,1,0,0,0
23,KAMWENGE,335200,72400,195.7,1,15.9,63.0,4.6,66.9,0.01,-0.351,0,0,0,1
24,KANUNGU,178300,61800,207.9,3,15.9,72.0,2.9,66.9,0.0,-0.335,0,0,0,1
47,KARENGA,68500,12000,21.45,3,15.9,51.15,5.7,66.9,0.0,-0.071,0,0,1,0
25,KASESE,793200,166600,223.8,3,15.0,68.0,4.8,66.9,0.02,-0.398,0,0,0,1
48,KASSANDA,312700,68600,162.9,3,15.8,80.0,4.6,66.9,0.0,-0.277,1,0,0,0
49,KAYUNGA,407700,77405,229.2,3,15.9,70.0,5.3,66.9,0.0,0.174,1,0,0,0
50,KIKUUBE,358700,77978,171.1,3,15.9,67.88,4.6,66.9,0.02,-0.214,0,0,0,1
26,KIRYANDONGO,178300,64900,81.9,1,15.9,67.88,2.7,66.9,0.0,-0.122,0,0,0,1
27,KISORO,315400,73200,416.1,3,16.0,53.0,4.3,66.9,0.0,-0.279,0,0,0,1
43,KOLE,284300,58000,265.5,3,15.9,67.88,4.9,66.9,0.0,-0.583,0,0,1,0
