quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,geometry,index_right,dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020
1223230333133010,4582,4481,23,2,1,"POLYGON ((30.904541015625 3.03081212266438, 30.9100341796875 3.03081212266438, 30.9100341796875 3.02532662829492, 30.904541015625 3.02532662829492, 30.904541015625 3.03081212266438))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133011,9168,7062,64,162,2,"POLYGON ((30.9100341796875 3.03081212266438, 30.91552734375 3.03081212266438, 30.91552734375 3.02532662829492, 30.9100341796875 3.02532662829492, 30.9100341796875 3.03081212266438))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133012,6797,8414,31,23,3,"POLYGON ((30.904541015625 3.02532662829492, 30.9100341796875 3.02532662829492, 30.9100341796875 3.01984110616897, 30.904541015625 3.01984110616897, 30.904541015625 3.02532662829492))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133013,2435,43586,33,9,1,"POLYGON ((30.9100341796875 3.02532662829492, 30.91552734375 3.02532662829492, 30.91552734375 3.01984110616897, 30.9100341796875 3.01984110616897, 30.9100341796875 3.02532662829492))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133033,5837,11800,39,5,2,"POLYGON ((30.9100341796875 3.01435555633666, 30.91552734375 3.01435555633666, 30.91552734375 3.00886997884815, 30.9100341796875 3.00886997884815, 30.9100341796875 3.01435555633666))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133103,728,2097,11,2,1,"POLYGON ((30.9210205078125 3.02532662829492, 30.926513671875 3.02532662829492, 30.926513671875 3.01984110616897, 30.9210205078125 3.01984110616897, 30.9210205078125 3.02532662829492))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133110,6285,4996,33,7,3,"POLYGON ((30.926513671875 3.03081212266438, 30.9320068359375 3.03081212266438, 30.9320068359375 3.02532662829492, 30.926513671875 3.02532662829492, 30.926513671875 3.03081212266438))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133120,5537,5799,20,4,3,"POLYGON ((30.91552734375 3.01984110616897, 30.9210205078125 3.01984110616897, 30.9210205078125 3.01435555633666, 30.91552734375 3.01435555633666, 30.91552734375 3.01984110616897))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133121,7232,13356,47,3,1,"POLYGON ((30.9210205078125 3.01984110616897, 30.926513671875 3.01984110616897, 30.926513671875 3.01435555633666, 30.9210205078125 3.01435555633666, 30.9210205078125 3.01984110616897))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133130,10444,6747,21,10,4,"POLYGON ((30.926513671875 3.01984110616897, 30.9320068359375 3.01984110616897, 30.9320068359375 3.01435555633666, 30.926513671875 3.01435555633666, 30.926513671875 3.01984110616897))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133131,5731,6706,20,2,1,"POLYGON ((30.9320068359375 3.01984110616897, 30.9375 3.01984110616897, 30.9375 3.01435555633666, 30.9320068359375 3.01435555633666, 30.9320068359375 3.01984110616897))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133211,22833,13513,22,3,1,"POLYGON ((30.9100341796875 3.00886997884815, 30.91552734375 3.00886997884815, 30.91552734375 3.00338437375357, 30.9100341796875 3.00338437375357, 30.9100341796875 3.00886997884815))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133212,8853,782,52,1,1,"POLYGON ((30.904541015625 3.00338437375357, 30.9100341796875 3.00338437375357, 30.9100341796875 2.99789874110306, 30.904541015625 2.99789874110306, 30.904541015625 3.00338437375357))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333133311,4734,1990,90,3,1,"POLYGON ((30.9320068359375 3.00886997884815, 30.9375 3.00886997884815, 30.9375 3.00338437375357, 30.9320068359375 3.00338437375357, 30.9320068359375 3.00886997884815))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333311011,9775,157,824,1,1,"POLYGON ((30.9100341796875 2.98692739333487, 30.91552734375 2.98692739333487, 30.91552734375 2.98144167831748, 30.9100341796875 2.98144167831748, 30.9100341796875 2.98692739333487))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223230333311122,4364,465,42,1,1,"POLYGON ((30.91552734375 2.97047016626687, 30.9210205078125 2.97047016626687, 30.9210205078125 2.96498436933396, 30.91552734375 2.96498436933396, 30.91552734375 2.97047016626687))",135,ARUA,Arua,"517,300",517300.0,ARUA,ARUA,ARUA,ARUA,ARUA
1223231213221330,18631,15876,43,7,1,"POLYGON ((32.069091796875 3.56824782162862, 32.0745849609375 3.56824782162862, 32.0745849609375 3.56276529041686, 32.069091796875 3.56276529041686, 32.069091796875 3.56824782162862))",51,AMURU,Amuru,"216,800",216800.0,AMURU,AMURU,AMURU,AMURU,AMURU
1223231220112120,17826,14252,18,2,1,"POLYGON ((31.22314453125 3.45859104828108, 31.2286376953125 3.45859104828108, 31.2286376953125 3.45310787329568, 31.22314453125 3.45310787329568, 31.22314453125 3.45859104828108))",56,YUMBE,Yumbe,"663,600",663600.0,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE
1223231220113000,9460,9628,58,2,1,"POLYGON ((31.2451171875 3.46955730306146, 31.2506103515625 3.46955730306146, 31.2506103515625 3.46407419155302, 31.2451171875 3.46407419155302, 31.2451171875 3.46955730306146))",56,YUMBE,Yumbe,"663,600",663600.0,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE
1223231230000011,552,250,32,1,1,"POLYGON ((31.6571044921875 3.51342104564004, 31.66259765625 3.51342104564004, 31.66259765625 3.5079381900405, 31.6571044921875 3.5079381900405, 31.6571044921875 3.51342104564004))",132,OBONGI,Obongi,"49,100",49100.0,MOYO,MOYO,MOYO,MOYO,OBONGI
1223231230031230,2761,918,11,1,1,"POLYGON ((31.783447265625 3.39279086967885, 31.7889404296875 3.39279086967885, 31.7889404296875 3.38730731803502, 31.783447265625 3.38730731803502, 31.783447265625 3.39279086967885))",66,ADJUMANI,Adjumani,"235,900",235900.0,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI
1223231230031231,2473,2789,11,1,1,"POLYGON ((31.7889404296875 3.39279086967885, 31.79443359375 3.39279086967885, 31.79443359375 3.38730731803502, 31.7889404296875 3.38730731803502, 31.7889404296875 3.39279086967885))",66,ADJUMANI,Adjumani,"235,900",235900.0,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI
1223231230122310,2871,2871,13,2,1,"POLYGON ((31.849365234375 3.35988909487339, 31.8548583984375 3.35988909487339, 31.8548583984375 3.35440535760295, 31.849365234375 3.35440535760295, 31.849365234375 3.35988909487339))",66,ADJUMANI,Adjumani,"235,900",235900.0,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI,ADJUMANI
1223231313132023,5407,3698,27,1,1,"POLYGON ((33.6676025390625 3.71626363474052, 33.673095703125 3.71626363474052, 33.673095703125 3.71078200434872, 33.6676025390625 3.71078200434872, 33.6676025390625 3.71626363474052))",114,KARENGA,Karenga,"68,500",68500.0,KAABONG,KAABONG,KAABONG,KAABONG,KARENGA
1223231320103231,3895,4151,44,1,1,"POLYGON ((32.5799560546875 3.43665815855909, 32.58544921875 3.43665815855909, 32.58544921875 3.43117485722021, 32.5799560546875 3.43117485722021, 32.5799560546875 3.43665815855909))",39,LAMWO,Lamwo,"143,800",143800.0,LAMWO,LAMWO,LAMWO,LAMWO,LAMWO
1223231322011131,9906,2084,18,5,1,"POLYGON ((32.5140380859375 3.15148587492933, 32.51953125 3.15148587492933, 32.51953125 3.14600100388593, 32.5140380859375 3.14600100388593, 32.5140380859375 3.15148587492933))",88,PADER,Pader,"197,300",197300.0,PADER,PADER,PADER,PADER,PADER
1223231322011331,21307,21759,18,1,1,"POLYGON ((32.5140380859375 3.12954621780049, 32.51953125 3.12954621780049, 32.51953125 3.12406123162066, 32.5140380859375 3.12406123162066, 32.5140380859375 3.12954621780049))",88,PADER,Pader,"197,300",197300.0,PADER,PADER,PADER,PADER,PADER
1223231322100200,5683,9181,23,15,1,"POLYGON ((32.51953125 3.14051610398324, 32.5250244140625 3.14051610398324, 32.5250244140625 3.13503117527139, 32.51953125 3.13503117527139, 32.51953125 3.14051610398324))",88,PADER,Pader,"197,300",197300.0,PADER,PADER,PADER,PADER,PADER
1223231332202332,2419,2745,70,1,1,"POLYGON ((33.079833984375 2.90463881858515, 33.0853271484375 2.90463881858515, 33.0853271484375 2.8991526985043, 33.079833984375 2.8991526985043, 33.079833984375 2.90463881858515))",88,PADER,Pader,"197,300",197300.0,PADER,PADER,PADER,PADER,PADER
1223231332221200,5713,8423,25,4,1,"POLYGON ((33.0908203125 2.87720795265334, 33.0963134765625 2.87720795265334, 33.0963134765625 2.87172170005957, 33.0908203125 2.87172170005957, 33.0908203125 2.87720795265334))",88,PADER,Pader,"197,300",197300.0,PADER,PADER,PADER,PADER,PADER
1223231322011131,9906,2084,18,5,1,"POLYGON ((32.5140380859375 3.15148587492933, 32.51953125 3.15148587492933, 32.51953125 3.14600100388593, 32.5140380859375 3.14600100388593, 32.5140380859375 3.15148587492933))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223231322011331,21307,21759,18,1,1,"POLYGON ((32.5140380859375 3.12954621780049, 32.51953125 3.12954621780049, 32.51953125 3.12406123162066, 32.5140380859375 3.12406123162066, 32.5140380859375 3.12954621780049))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223231322320221,32579,26255,29,218,3,"POLYGON ((32.5250244140625 2.86623542111373, 32.530517578125 2.86623542111373, 32.530517578125 2.86074911586601, 32.5250244140625 2.86074911586601, 32.5250244140625 2.86623542111373))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223231322320230,23265,15930,43,65,3,"POLYGON ((32.530517578125 2.86623542111373, 32.5360107421875 2.86623542111373, 32.5360107421875 2.86074911586601, 32.530517578125 2.86074911586601, 32.530517578125 2.86623542111373))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011110132,18160,67,15,1,1,"POLYGON ((32.288818359375 2.7949114196117, 32.2943115234375 2.7949114196117, 32.2943115234375 2.78942477700599, 32.288818359375 2.78942477700599, 32.288818359375 2.7949114196117))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011110311,3433,4845,28,1,1,"POLYGON ((32.2943115234375 2.78942477700599, 32.2998046875 2.78942477700599, 32.2998046875 2.78393810880097, 32.2943115234375 2.78393810880097, 32.2943115234375 2.78942477700599))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011110312,2823,4114,20,1,1,"POLYGON ((32.288818359375 2.78393810880097, 32.2943115234375 2.78393810880097, 32.2943115234375 2.77845141504685, 32.288818359375 2.77845141504685, 32.288818359375 2.78393810880097))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011110313,2520,2539,33,1,1,"POLYGON ((32.2943115234375 2.78393810880097, 32.2998046875 2.78393810880097, 32.2998046875 2.77845141504685, 32.2943115234375 2.77845141504685, 32.2943115234375 2.78393810880097))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011110330,4205,1561,256,2,1,"POLYGON ((32.288818359375 2.77845141504685, 32.2943115234375 2.77845141504685, 32.2943115234375 2.77296469579383, 32.288818359375 2.77296469579383, 32.288818359375 2.77845141504685))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011110333,4219,6583,67,12,6,"POLYGON ((32.2943115234375 2.77296469579383, 32.2998046875 2.77296469579383, 32.2998046875 2.76747795109208, 32.2943115234375 2.76747795109208, 32.2943115234375 2.77296469579383))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011111032,1854,1694,116,1,1,"POLYGON ((32.310791015625 2.7949114196117, 32.3162841796875 2.7949114196117, 32.3162841796875 2.78942477700599, 32.310791015625 2.78942477700599, 32.310791015625 2.7949114196117))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011111033,3631,3326,28,1,1,"POLYGON ((32.3162841796875 2.7949114196117, 32.32177734375 2.7949114196117, 32.32177734375 2.78942477700599, 32.3162841796875 2.78942477700599, 32.3162841796875 2.7949114196117))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011111200,9484,18912,37,3,2,"POLYGON ((32.2998046875 2.78942477700599, 32.3052978515625 2.78942477700599, 32.3052978515625 2.78393810880097, 32.2998046875 2.78393810880097, 32.2998046875 2.78942477700599))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011111202,128,4646,170,2,1,"POLYGON ((32.2998046875 2.78393810880097, 32.3052978515625 2.78393810880097, 32.3052978515625 2.77845141504685, 32.2998046875 2.77845141504685, 32.2998046875 2.78393810880097))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011111221,5956,6643,25,3,2,"POLYGON ((32.3052978515625 2.77845141504685, 32.310791015625 2.77845141504685, 32.310791015625 2.77296469579383, 32.3052978515625 2.77296469579383, 32.3052978515625 2.77845141504685))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011111222,720,1921,54,3,2,"POLYGON ((32.2998046875 2.77296469579383, 32.3052978515625 2.77296469579383, 32.3052978515625 2.76747795109208, 32.2998046875 2.76747795109208, 32.2998046875 2.77296469579383))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011111230,12822,2635,66,4,1,"POLYGON ((32.310791015625 2.77845141504685, 32.3162841796875 2.77845141504685, 32.3162841796875 2.77296469579383, 32.310791015625 2.77296469579383, 32.310791015625 2.77845141504685))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011111232,4640,1852,74,2,1,"POLYGON ((32.310791015625 2.77296469579383, 32.3162841796875 2.77296469579383, 32.3162841796875 2.76747795109208, 32.310791015625 2.76747795109208, 32.310791015625 2.77296469579383))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011112111,4843,8132,45,13,2,"POLYGON ((32.2943115234375 2.76747795109208, 32.2998046875 2.76747795109208, 32.2998046875 2.76199118099183, 32.2943115234375 2.76199118099183, 32.2943115234375 2.76747795109208))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223233011113002,10388,23814,52,2,1,"POLYGON ((32.2998046875 2.76199118099183, 32.3052978515625 2.76199118099183, 32.3052978515625 2.75650438554326, 32.2998046875 2.75650438554326, 32.2998046875 2.76199118099183))",60,GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU
1223232311033302,53518,56716,18,15,2,"POLYGON ((30.73974609375 1.24684981901817, 30.7452392578125 1.24684981901817, 30.7452392578125 1.24135794987957, 30.73974609375 1.24135794987957, 30.73974609375 1.24684981901817))",74,KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE
1223233022332002,5513,6228,25,3,1,"POLYGON ((31.201171875 1.44454908572045, 31.2066650390625 1.44454908572045, 31.2066650390625 1.43905766080776, 31.201171875 1.43905766080776, 31.201171875 1.44454908572045))",74,KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE
1223233022332020,6044,2851,30,3,1,"POLYGON ((31.201171875 1.43905766080776, 31.2066650390625 1.43905766080776, 31.2066650390625 1.43356622267311, 31.201171875 1.43356622267311, 31.201171875 1.43905766080776))",74,KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE
1223233200123132,4376,6238,36,5,1,"POLYGON ((31.190185546875 1.25783352287348, 31.1956787109375 1.25783352287348, 31.1956787109375 1.25234167669962, 31.190185546875 1.25234167669962, 31.190185546875 1.25783352287348))",74,KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE
1223233200123133,5936,4679,37,54,1,"POLYGON ((31.1956787109375 1.25783352287348, 31.201171875 1.25783352287348, 31.201171875 1.25234167669962, 31.1956787109375 1.25234167669962, 31.1956787109375 1.25783352287348))",74,KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE
1223233200123310,4858,3180,16,1,1,"POLYGON ((31.190185546875 1.25234167669962, 31.1956787109375 1.25234167669962, 31.1956787109375 1.24684981901817, 31.190185546875 1.24684981901817, 31.190185546875 1.25234167669962))",74,KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE
1223233200210010,12682,7789,14,1,1,"POLYGON ((31.036376953125 1.23037417743261, 31.0418701171875 1.23037417743261, 31.0418701171875 1.22488227422512, 31.036376953125 1.22488227422512, 31.036376953125 1.23037417743261))",74,KIKUUBE,Kikuube,"358,700",358700.0,HOIMA,HOIMA,HOIMA,KIKUUBE,KIKUUBE
1223232312220322,4383,5252,38,11,2,"POLYGON ((30.25634765625 0.752541838709498, 30.2618408203125 0.752541838709498, 30.2618408203125 0.747049145005181, 30.25634765625 0.747049145005181, 30.25634765625 0.752541838709498))",22,KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE
1223232330000121,8627,3818,22,2,2,"POLYGON ((30.2618408203125 0.692121838663236, 30.267333984375 0.692121838663236, 30.267333984375 0.6866290722095451, 30.2618408203125 0.6866290722095451, 30.2618408203125 0.692121838663236))",22,KABAROLE,Kabarole,"337,800",337800.0,KABAROLE,KABAROLE,KABAROLE,KABAROLE,KABAROLE
